FunctionName,Frequency (Total: 24507),Percentage
unsigned_long_int_min,2,0.01
uint_fast8_t_min,2,0.01
int_fast64_t_min,2,0.01
int_fast32_t_min,2,0.01
int_fast16_t_min,2,0.01
int_fast8_t_min,2,0.01
unsigned_long_long_int_min,2,0.01
intpow,2,0.01
firstHalf,2,0.01
heapify,2,0.01
leftsum,2,0.01
estimateFriends,2,0.01
min_claques,2,0.01
calc_prepost,2,0.01
get_many,2,0.01
get_one,2,0.01
readNum,2,0.01
omino,2,0.01
fukuenn_misato,2,0.01
convertToInt,2,0.01
show_me,2,0.01
get_biggest,2,0.01
getInvites,2,0.01
getProduct,2,0.01
checkresend,2,0.01
sep,2,0.01
horie_yui,2,0.01
calculate_number,2,0.01
get_mul,2,0.01
convidados,2,0.01
getPeople,2,0.01
getmax,2,0.01
minfriends,2,0.01
check_prefix_product,2,0.01
calc_prefix_product,2,0.01
get_pos,2,0.01
init_optimal_piles,2,0.01
ijk2v,2,0.01
qrank,2,0.01
cal_power,2,0.01
can_richard_win,2,0.01
dfs1,2,0.01
desc_comparator,2,0.01
toNo,2,0.01
converttoint,2,0.01
secHalf,2,0.01
freeResources,2,0.01
my_strcpy,2,0.01
testXRC,2,0.01
need_friend,2,0.01
richardWins,2,0.01
claps,2,0.01
time,2,0.01
initIO,2,0.01
tempsMin,2,0.01
shynessrev,2,0.01
input_parse,2,0.01
aud,2,0.01
checkIndex,2,0.01
checkFrequency,2,0.01
ton,2,0.01
findFriends,2,0.01
ToInt,2,0.01
genlookup,2,0.01
get_data,2,0.01
prodi,2,0.01
sig,2,0.01
test_cases,2,0.01
counting,2,0.01
counting_aux,2,0.01
get_min_friends,2,0.01
isSpaceChar,2,0.01
lireChaine,2,0.01
enough,2,0.01
Dijkstra,2,0.01
_process,2,0.01
multi,2,0.01
try_for_h,2,0.01
quickest,2,0.01
can_be_extended,2,0.01
get_letter_ID,2,0.01
expand_letters,2,0.01
findfns,2,0.01
isntPossCol,2,0.01
isntPossRow,2,0.01
isOWin,2,0.01
isXWin,2,0.01
lineJudge,2,0.01
checkLawn,2,0.01
checkpali,2,0.01
check_is_O,2,0.01
checkBoardFillCondition,2,0.01
checkWinCondition,2,0.01
kontrol,2,0.01
isPallin,2,0.01
is_pali,2,0.01
verticalCheck,2,0.01
check_is_X,2,0.01
check_is_T,2,0.01
type,2,0.01
getLawn,2,0.01
IsPerfectSquare,2,0.01
CheckPallindrome,2,0.01
backwards,2,0.01
cal_max_inc_num,2,0.01
check_not_complete,2,0.01
procLawn,2,0.01
procField,2,0.01
check_is_P,2,0.01
getField,2,0.01
haswon,2,0.01
clear_possible_array,2,0.01
find_equal_or_higher,2,0.01
who_Win,2,0.01
verific,2,0.01
horizontalCheck,2,0.01
verifyHorisontalAndVertical,2,0.01
IsFinished,2,0.01
set_T,2,0.01
checkisdot,2,0.01
Y,2,0.01
counter_diagonal,2,0.01
counter_column,2,0.01
counter_row,2,0.01
game_status,2,0.01
play_move,2,0.01
checkdiagonal,2,0.01
start_new_game,2,0.01
gOrE,2,0.01
getSqr,2,0.01
getpalindromes,2,0.01
chkline,2,0.01
testcool,2,0.01
checkcolumn,2,0.01
solveBoards,2,0.01
verifyDiagonal,2,0.01
hasy,2,0.01
ywonboard,2,0.01
xwonboard,2,0.01
drawboard,2,0.01
evalfour,2,0.01
xwon,2,0.01
ywon,2,0.01
hasx,2,0.01
checkSolved,2,0.01
add_root,2,0.01
compare_range,2,0.01
judge_zag,2,0.01
judge_zig,2,0.01
judge_col,2,0.01
getSquare,2,0.01
IsWon,2,0.01
genFromCol,2,0.01
testrow,2,0.01
analyzeDiagonal,2,0.01
results,2,0.01
bswin,2,0.01
fswin,2,0.01
vertwin,2,0.01
horizwin,2,0.01
coordstoi,2,0.01
analyzeColumn,2,0.01
getFirstRow,2,0.01
analyzeLine,2,0.01
s_eSolve,2,0.01
s_bWinner,2,0.01
readMatrix,2,0.01
eval_board,2,0.01
runs,2,0.01
delRowCol,2,0.01
getFirstCol,2,0.01
right_left,2,0.01
readNextBoard,2,0.01
check_paindrom,2,0.01
set_sqrts,2,0.01
check_digonal,2,0.01
check_virtical,2,0.01
isCuttable,2,0.01
algorithm,2,0.01
negDiag,2,0.01
find_palindromes,2,0.01
posDiag,2,0.01
judgeDiagL,2,0.01
judgeDiagR,2,0.01
judgeCol,2,0.01
judgeRow,2,0.01
checkTable,2,0.01
checkIfWon,2,0.01
left_right,2,0.01
genFromRow,2,0.01
maximoLinha,2,0.01
setGrassLength,2,0.01
getGrassLength,2,0.01
trabalho,2,0.01
novaColuna,2,0.01
novaLinha,2,0.01
maximoColuna,2,0.01
inicial,2,0.01
atom_check,2,0.01
saida,2,0.01
A2012_1,2,0.01
min_matrix,2,0.01
checkdiag,2,0.01
cmax,2,0.01
rmax,2,0.01
processBoard,2,0.01
findlinemax,2,0.01
bot_top,2,0.01
setcol_temp,2,0.01
top_bot,2,0.01
compare_num,2,0.01
is_digit,2,0.01
validar_ganador,2,0.01
extraer_matriz,2,0.01
solve_next,2,0.01
setrow_temp,2,0.01
findcolmax,2,0.01
checkVert,2,0.01
checkHoriz,2,0.01
checkFull,2,0.01
colCheck,2,0.01
dioCheck,2,0.01
fullCheck,2,0.01
testdia,2,0.01
hash_empty,2,0.01
testX,2,0.01
cget,2,0.01
lawn_mowable,2,0.01
square_mowable,2,0.01
column_mowable,2,0.01
row_mowable,2,0.01
lawn_init,2,0.01
breakd,2,0.01
game_state,2,0.01
parsefile,2,0.01
right2left_diagonal_won,2,0.01
left2right_diagonal_won,2,0.01
top_row_won,2,0.01
middle_row2_won,2,0.01
middle_row1_won,2,0.01
bottom_row_won,2,0.01
checkwinner,2,0.01
force_check,2,0.01
middle_column2_won,2,0.01
diagchk,2,0.01
isRaizPal,2,0.01
valD,2,0.01
valC,2,0.01
valL,2,0.01
parseC,2,0.01
check_re,2,0.01
colchk,2,0.01
judge_column,2,0.01
rowchk,2,0.01
is_game_complete,2,0.01
getWinner,2,0.01
rowmatch,2,0.01
judge_complete,2,0.01
judge_diagonal,2,0.01
right_column_won,2,0.01
middle_column1_won,2,0.01
resInt,2,0.01
status_of_rows,2,0.01
log_game_not_completed_stateme...,2,0.01
log_winning_statement,2,0.01
status_of,2,0.01
has_not_completed,2,0.01
status_of_diagonals,2,0.01
status_of_columns,2,0.01
scan_board,2,0.01
max_square_possible,2,0.01
diagonal_wise,2,0.01
column_wise,2,0.01
row_wise,2,0.01
fixIt,2,0.01
printMat,2,0.01
palin_check,2,0.01
log_game_drawn_statement,2,0.01
fair_squares_in,2,0.01
left_column_won,2,0.01
load_board,2,0.01
single_test,2,0.01
checkFair,2,0.01
has_X_won,2,0.01
has_O_won,2,0.01
is_lawn_possible,2,0.01
load_lawn,2,0.01
game_state_for_board,2,0.01
next_palindromUtil,2,0.01
build_lines,2,0.01
isrev,2,0.01
diagonalcheck,2,0.01
columncheck,2,0.01
are_all9s,2,0.01
next_palindrom,2,0.01
calcInt,2,0.01
CheckLine,2,0.01
not_max,2,0.01
fan,2,0.01
lawn_assess,2,0.01
lawn_equals,2,0.01
lawn_try_mow,2,0.01
lawn_mow,2,0.01
lawn_print,2,0.01
match_case,2,0.01
test_stat,2,0.01
fieldcompare,2,0.01
Nbpos,2,0.01
WhoWon,2,0.01
achievable,2,0.01
col_hochsten,2,0.01
raw_hochsten,2,0.01
col_connectivity,2,0.01
print1,2,0.01
onecase,2,0.01
check_diamond,2,0.01
hasWinner,2,0.01
setzeroes,2,0.01
player_won,2,0.01
set_true,2,0.01
mtest,2,0.01
testwinner,2,0.01
hasBlanks,2,0.01
y);,2,0.01
Gana,2,0.01
sameChar,2,0.01
isPalLL,2,0.01
is_completed,2,0.01
check_minor_diag,2,0.01
check_major_diag,2,0.01
show_board,2,0.01
raw_connectivity,2,0.01
check_raw,2,0.01
GetMin,2,0.01
win_vertical,2,0.01
testColuna,2,0.01
testLinha,2,0.01
judgeWin,2,0.01
judgeDraw,2,0.01
check_all_squares_filled,2,0.01
win_diagonal,2,0.01
win_horizontal,2,0.01
isexist,2,0.01
isGameNotOver,2,0.01
isPlayerWin,2,0.01
pelindrome,2,0.01
PrintLine,2,0.01
LinesAreEqual,2,0.01
GetMax,2,0.01
input_array,2,0.01
analyze_row,2,0.01
doesWork,2,0.01
single_game,2,0.01
writeNumber,2,0.01
getPal,2,0.01
fillrow,2,0.01
getstate,2,0.01
qcomp,2,0.01
check_grid,2,0.01
check_empty,2,0.01
analyze_column,2,0.01
fairsquare,2,0.01
mayor,2,0.01
comparaInv,2,0.01
isPolindrome,2,0.01
SquareRoot,2,0.01
analyze_dia,2,0.01
maxValue,2,0.01
testO,2,0.01
print_cake,2,0.01
possible_Y,2,0.01
testWinner,2,0.01
testWinnerDirection,2,0.01
existEmptySquare,2,0.01
resolv_next,2,0.01
str2square,2,0.01
print_a,2,0.01
possible_X,2,0.01
palindrom,2,0.01
decision,2,0.01
processInputs,2,0.01
getFairNSqrs,2,0.01
isPalind,2,0.01
dump_stack,2,0.01
dump_sieve,2,0.01
testTTT,2,0.01
countPalindromsBetween,2,0.01
calc_sieve,2,0.01
is_draw,2,0.01
verifyWinner,2,0.01
verifyNoWinner,2,0.01
verifyDiagonals,2,0.01
verifyColunms,2,0.01
verifyRows,2,0.01
getmatrix,2,0.01
meugetchar,2,0.01
testSquare,2,0.01
testSum,2,0.01
check_right,2,0.01
check_left,2,0.01
check_down,2,0.01
vacant,2,0.01
lawnMower,2,0.01
calc_range,2,0.01
get_palindromes,2,0.01
check_diagD,2,0.01
isNumTooSmall,2,0.01
is_valid_element,2,0.01
analyze_table,2,0.01
check_board_and_print,2,0.01
game_won,2,0.01
translate,2,0.01
isNumTooBig,2,0.01
isNumPalindrome,2,0.01
rectext,2,0.01
isStringPalindrome,2,0.01
didGameFinish,2,0.01
didOWin,2,0.01
didXWin,2,0.01
didPlayerWin,2,0.01
didPlayerWinDiag,2,0.01
is_valid_pattern,2,0.01
board_status,2,0.01
max_N,2,0.01
check_dia,2,0.01
max_M,2,0.01
check_data,2,0.01
copy_diagonal,2,0.01
copy_vertical,2,0.01
check_h,2,0.01
check_v,2,0.01
EvaluateWinner,2,0.01
test_line,2,0.01
verify_line,2,0.01
judgeGame,2,0.01
solveRow,2,0.01
evaluate_pattern,2,0.01
test_pattern,2,0.01
test_column,2,0.01
È,2,0.01
check_diagI,2,0.01
didPlayerWinRow,2,0.01
checkArray,2,0.01
rdraw,2,0.01
solvepuzzle,2,0.01
expandvertical,2,0.01
expandhor,2,0.01
compare_ints,2,0.01
eturn,2,0.01
readArray,2,0.01
grow,2,0.01
initilaze,2,0.01
determineWinner,2,0.01
canMowTheLawn,2,0.01
check_pos,2,0.01
buscar_min,2,0.01
whoWon,2,0.01
calans,2,0.01
cakify,2,0.01
getBoard,2,0.01
DO,2,0.01
print_alphabet,2,0.01
new_char,2,0.01
DoOverlap,2,0.01
cmprange,2,0.01
showMat,2,0.01
getMultiple,2,0.01
calcV,2,0.01
is_emp_row,2,0.01
calcH,2,0.01
pr,2,0.01
dist_cake,2,0.01
fill_row,2,0.01
is_blank_row,2,0.01
is_emp_col,2,0.01
boardFull,2,0.01
allfilled,2,0.01
maiuditn,2,0.01
calcdiag2,2,0.01
isThis,2,0.01
check_for_winner,2,0.01
getSqrt,2,0.01
hasWon,2,0.01
testPosition,2,0.01
calcdraw,2,0.01
calcdiag1,2,0.01
find_status,2,0.01
chkcom,2,0.01
chkdia,2,0.01
verifv,2,0.01
verifdiag,2,0.01
verifh,2,0.01
is_pattern_possible,2,0.01
judgeWinner,2,0.01
diag1check,2,0.01
max_col,2,0.01
is_x,2,0.01
max_row,2,0.01
makedes,2,0.01
resultado,2,0.01
TTT,2,0.01
pnum,2,0.01
is_o,2,0.01
check_for_completion,2,0.01
diag2check,2,0.01
check_for_vertical,2,0.01
check_for_horizontal,2,0.01
check_for_diagonal,2,0.01
isfairandsquare,2,0.01
getresult,2,0.01
checkfordraw,2,0.01
didPlayerWinCol,2,0.01
TestDiagonal,2,0.01
is_won,2,0.01
check_diagnols,2,0.01
lines,2,0.01
simpleht,2,0.01
maximums,2,0.01
maketable,2,0.01
tic,2,0.01
tally,2,0.01
check_horizontal_vertical,2,0.01
diagonals,2,0.01
read_empty_line,2,0.01
display_game,2,0.01
little_check,2,0.01
findLen,2,0.01
findMaxValue,2,0.01
isPossiblePattern,2,0.01
columns,2,0.01
lines2p,2,0.01
doesPlayerWin,2,0.01
maxColumn,2,0.01
bits_set,2,0.01
chky,2,0.01
chkx,2,0.01
PrintMessage,2,0.01
checkDiagonals,2,0.01
checkColumns,2,0.01
maxRow,2,0.01
free_stream,2,0.01
freecells,2,0.01
printGame,2,0.01
checkPoint,2,0.01
Col,2,0.01
Row,2,0.01
"n"");",2,0.01
getGameState,2,0.01
noEmptyCell,2,0.01
binary_dir,2,0.01
locate,2,0.01
init_table,2,0.01
state,2,0.01
getCheckBoard,2,0.01
getPlace,2,0.01
cas,2,0.01
doline,2,0.01
outcome,2,0.01
diagonal2,2,0.01
test_ttt,2,0.01
check_o,2,0.01
=,2,0.01
];,2,0.01
print_state,2,0.01
get_state,2,0.01
diagonal1,2,0.01
makeTable,2,0.01
pattern_is_possible,2,0.01
ch,2,0.01
_check_row,2,0.01
_check_col,2,0.01
test_winner,2,0.01
tile_has_won,2,0.01
ensure,2,0.01
chck,2,0.01
tik,2,0.01
makeTable2,2,0.01
ff,2,0.01
checkout_board,2,0.01
_c,2,0.01
check_Y,2,0.01
check_X,2,0.01
can_do,2,0.01
rowcol,2,0.01
binary_esq,2,0.01
TestColumn,2,0.01
determineStringWinner,2,0.01
checkEmpty,2,0.01
canMowColumn,2,0.01
canMowRow,2,0.01
isValidPattern,2,0.01
resetLawn,2,0.01
getInteger,2,0.01
determineState,2,0.01
check_dot,2,0.01
checkstate,2,0.01
palind,2,0.01
upvalue,2,0.01
tictactoe,2,0.01
check_lawn,2,0.01
checksquare,2,0.01
if_full,2,0.01
situation,2,0.01
is_g,2,0.01
che_diagonal,2,0.01
TestRow,2,0.01
checkO,2,0.01
checkX,2,0.01
testdraw,2,0.01
test4,2,0.01
che_row,2,0.01
che_straight,2,0.01
hasWonBy4Dots,2,0.01
_find_result,2,0.01
uncut,2,0.01
show_table,2,0.01
colun,2,0.01
ev,2,0.01
colMinHeight,2,0.01
CheckVictory,2,0.01
dict,2,0.01
ispeli,2,0.01
judge_vertical,2,0.01
diagonalTest,2,0.01
set_char,2,0.01
diag2,2,0.01
diag1,2,0.01
forward,2,0.01
judge_cross,2,0.01
judge_horizontal,2,0.01
verticalTest,2,0.01
read_row,2,0.01
procuraponto,2,0.01
procurax,2,0.01
procurao,2,0.01
getUBound,2,0.01
getLBound,2,0.01
horizontalTest,2,0.01
emptyTest,2,0.01
p2,2,0.01
judge_have_empty,2,0.01
p1,2,0.01
fill_grass_table,2,0.01
count_same,2,0.01
count_max,2,0.01
fill_board,2,0.01
judge_board,2,0.01
judge_board_win,2,0.01
getstring,2,0.01
is_proper_sequence,2,0.01
table,2,0.01
controlla_punti,2,0.01
controlla_vincita,2,0.01
printM,2,0.01
check3,2,0.01
can_go,2,0.01
quartz,2,0.01
pushb,2,0.01
readNumberOfButtons,2,0.01
bot_dist,2,0.01
printTK,2,0.01
addTripToScheduleList,2,0.01
printelements,2,0.01
get_file_size,2,0.01
parse_test_line,2,0.01
get_min_time,2,0.01
init_robot,2,0.01
robot_next_operation,2,0.01
robot_action,2,0.01
try_combine,2,0.01
mapeia,2,0.01
try_oppose,2,0.01
involk,2,0.01
resolveNums,2,0.01
readMove,2,0.01
printMove,2,0.01
readMoves,2,0.01
approachTarget,2,0.01
resolveMoves,2,0.01
sortSubset,2,0.01
resetGlobalData,2,0.01
initCaches,2,0.01
takeActionForRobot,2,0.01
readInstructionForRobot,2,0.01
next_train,2,0.01
readInstruction,2,0.01
fill_derange,2,0.01
fill_f,2,0.01
min_moves,2,0.01
string_split,2,0.01
arr_cont,2,0.01
switchrequired,2,0.01
minConv,2,0.01
chkcombine,2,0.01
chkcancel,2,0.01
modulo,2,0.01
MaxTime,2,0.01
Number,2,0.01
AbsoluteDifference,2,0.01
findchar,2,0.01
minTrain,2,0.01
BubbleSort,2,0.01
HtoM,2,0.01
MoveCloserTo,2,0.01
rect,2,0.01
CalculateScenario,2,0.01
checkTime,2,0.01
Destroys,2,0.01
CombinesWith,2,0.01
zeroHitPerms,2,0.01
getValidPermutations,2,0.01
fill_fac,2,0.01
ComputeStr,2,0.01
GetNValue,2,0.01
destroyTrie,2,0.01
outputComb,2,0.01
cmpEngines,2,0.01
dbg,2,0.01
searchSins,2,0.01
init_moves,2,0.01
read_moves,2,0.01
makeallavail,2,0.01
noneavail,2,0.01
reversePath,2,0.01
getTimes,2,0.01
my_abs,2,0.01
checkSin,2,0.01
do_input,2,0.01
find_next_order,2,0.01
sematch,2,0.01
printNumberedMap,2,0.01
candy,2,0.01
is_set,2,0.01
freadline,2,0.01
printData,2,0.01
get_strs,2,0.01
isExistInTrie,2,0.01
canclearlist,2,0.01
counthem,2,0.01
cancombine,2,0.01
averageAttempts,2,0.01
getBangs,2,0.01
extractCombo,2,0.01
extractNegation,2,0.01
extractCodex,2,0.01
tryCombo,2,0.01
tryNeg,2,0.01
tryReductions,2,0.01
resolveCodex,2,0.01
found,2,0.01
calc_hash,2,0.01
transfer,2,0.01
initHashTable,2,0.01
freeHashTable,2,0.01
addToHashTable,2,0.01
startTrainsAt,2,0.01
PopAvailTrain,2,0.01
askEngineNum,2,0.01
ScanTestCase,2,0.01
isExistInHashTable,2,0.01
insertTrie,2,0.01
isPresent,2,0.01
iscombsame,2,0.01
fill_choose,2,0.01
outOfPosition,2,0.01
print_binary,2,0.01
intersection_point,2,0.01
calc_dirs,2,0.01
clean_basins,2,0.01
calc_dp,2,0.01
rewrite,2,0.01
rule1search,2,0.01
rule2search,2,0.01
patrick_addition,2,0.01
normal_addition,2,0.01
comparison,2,0.01
sean_optimal,2,0.01
action_count,2,0.01
seek_oppos,2,0.01
seek_equiv,2,0.01
mk_elem_list,2,0.01
move_and_push,2,0.01
find_opposed,2,0.01
find_combine,2,0.01
createInput,2,0.01
read_language,2,0.01
resetInput,2,0.01
fillInput,2,0.01
getActivityList,2,0.01
updateActiveRobot,2,0.01
COMPARE,2,0.01
labelbasins,2,0.01
getInactiveTargetPos,2,0.01
arc_area,2,0.01
zetai,2,0.01
sort_timetable,2,0.01
XOR,2,0.01
end_position,2,0.01
time_req,2,0.01
start_position,2,0.01
calc_dir,2,0.01
add_instruction,2,0.01
next_button,2,0.01
press_button,2,0.01
destroy_Robot,2,0.01
solve_bot_trust,2,0.01
solve_m,2,0.01
solve_magicka,2,0.01
check_start,2,0.01
process_square,2,0.01
look,2,0.01
is_in_combined_list,2,0.01
is_in_opposed_list,2,0.01
Proxima,2,0.01
sched,2,0.01
searchfor,2,0.01
intersect_square,2,0.01
updateInactiveRobot,2,0.01
moveRobot,2,0.01
time_count,2,0.01
becom,2,0.01
doMagic,2,0.01
scanAnotherLetter,2,0.01
scanFirstLetter,2,0.01
getNextDirection,2,0.01
direction,2,0.01
prevMoveDone,2,0.01
findX,2,0.01
find_next_instr,2,0.01
xorsum,2,0.01
determine_Ostate,2,0.01
determine_Bstate,2,0.01
isBasin,2,0.01
flowDir,2,0.01
is_done,2,0.01
get_global_next,2,0.01
alien,2,0.01
__assert_fail,2,0.01
char2num,2,0.01
cando,2,0.01
Magicka,2,0.01
difference,2,0.01
calculate_time,2,0.01
line2Array,2,0.01
iscom,2,0.01
beopp,2,0.01
pushButton,2,0.01
candyXorFill,2,0.01
moveOtherRobotsByOne,2,0.01
initializeRobot,2,0.01
countmatches,2,0.01
initializeActivity,2,0.01
simul,2,0.01
matchpat,2,0.01
searchOrder,2,0.01
do_move,2,0.01
do_action,2,0.01
candy_split,2,0.01
setnh,2,0.01
setmin,2,0.01
setto,2,0.01
candy_value_compare,2,0.01
fix_owner_overflow,2,0.01
sum_candies,2,0.01
wont_cry,2,0.01
debug_candies,2,0.01
gorosort,2,0.01
load_map,2,0.01
char_in_string,2,0.01
clear_element_list,2,0.01
beautify_output,2,0.01
get_chars,2,0.01
init_combine,2,0.01
init_opposed,2,0.01
cmpserver,2,0.01
getValidWords,2,0.01
prefetchCommandIndex,2,0.01
directionToMatch,2,0.01
candy_sum,2,0.01
isCombine,2,0.01
isOppose,2,0.01
addinfo,2,0.01
reset_alternatives,2,0.01
freelist,2,0.01
repcheck,2,0.01
oppcheck,2,0.01
pressO,2,0.01
pressB,2,0.01
moveO,2,0.01
moveB,2,0.01
swit,2,0.01
setlock,2,0.01
min2,2,0.01
countTime,2,0.01
CheckC,2,0.01
CheckD,2,0.01
isat,2,0.01
moveb,2,0.01
mark_possible,2,0.01
get_hours,2,0.01
mark_alternatives,2,0.01
sort_it,2,0.01
fillToTable,2,0.01
addOpposite,2,0.01
removeOpposite,2,0.01
resetOpposite,2,0.01
possb,2,0.01
find_move,2,0.01
somaBit,2,0.01
ctable_n,2,0.01
dtable_n,2,0.01
combi,2,0.01
dumpTable,2,0.01
destr,2,0.01
update_bot,2,0.01
append,2,0.01
elemToIndex,2,0.01
runTest,2,0.01
doMove,2,0.01
getClose,2,0.01
solveInput,2,0.01
mycomp,2,0.01
count_possible,2,0.01
cmpcharp,2,0.01
lastappearance,2,0.01
fun9,2,0.01
nextev,2,0.01
reset_elem,2,0.01
qOready,2,0.01
qOpop,2,0.01
qBpop,2,0.01
qOsniff,2,0.01
qBsniff,2,0.01
qOinsert,2,0.01
qBinsert,2,0.01
RoboPress,2,0.01
randomPermutation,2,0.01
monteCarlo,2,0.01
ToIdx,2,0.01
color_map,2,0.01
MysteryDrain,2,0.01
abs_dif,2,0.01
classify,2,0.01
name_to_num,2,0.01
KnownDrain,2,0.01
fbs,2,0.01
contabiliza,2,0.01
error,2,0.01
getMoves,2,0.01
compareValue,2,0.01
ci,2,0.01
ic,2,0.01
qBready,2,0.01
checkCMB,2,0.01
print_possible,2,0.01
findvalue,2,0.01
process_input,2,0.01
num_matches,2,0.01
trarc,2,0.01
ions,2,0.01
compint,2,0.01
oint,2,0.01
pusho,2,0.01
eventcmp,2,0.01
isnullo,2,0.01
isnullb,2,0.01
popo,2,0.01
popb,2,0.01
existsTrain,2,0.01
private_bag_of_candy_include,2,0.01
private_sequence_t_append,2,0.01
private_sequence_t_analyse,2,0.01
displace,2,0.01
min_of,2,0.01
private_array_t_assign,2,0.01
private_array_t_identify_cycle...,2,0.01
print_label,2,0.01
private_array_t_calculate_expe...,2,0.01
replace_label,2,0.01
time_compare,2,0.01
sumOpposite,2,0.01
getReplace,2,0.01
find_compatible,2,0.01
alo,2,0.01
rec_mark,2,0.01
robotCharToIndex,2,0.01
charToIndex,2,0.01
silnia,2,0.01
bubble,2,0.01
isClear,2,0.01
updateTimeStamp,2,0.01
fun_match,2,0.01
test_match,2,0.01
write_map_alt,2,0.01
write_map_label,2,0.01
Bgetstr,2,0.01
checkcomb,2,0.01
getMaxIndex,2,0.01
checkopos,2,0.01
run_test,2,0.01
menor_rec,2,0.01
find_subs,2,0.01
minNumSwitches,2,0.01
before,2,0.01
initTables,2,0.01
translate_table,2,0.01
show_schedule,2,0.01
find_it,2,0.01
printAsVector,2,0.01
faabs,2,0.01
analyzeTextFile,2,0.01
print_stack,2,0.01
strsize,2,0.01
clear_array,2,0.01
tra,2,0.01
dec2,2,0.01
move_bots,2,0.01
get_button,2,0.01
findSS,2,0.01
show_progress,2,0.01
Reduce,2,0.01
get_flow_pos,2,0.01
printVar,2,0.01
fillsink,2,0.01
sadP,2,0.01
checkCombos,2,0.01
checkOppose,2,0.01
checkConversion,2,0.01
minimo,2,0.01
lable,2,0.01
codejam,2,0.01
iseq,2,0.01
show_trains,2,0.01
switcher,2,0.01
enumerate,2,0.01
docount,2,0.01
find_com,2,0.01
printmystack,2,0.01
stackmanipulate,2,0.01
debugpaths,2,0.01
idx,2,0.01
get_dict,2,0.01
debuginput,2,0.01
fd,2,0.01
parse_values,2,0.01
search_D,2,0.01
absval,2,0.01
hebeleval,2,0.01
areCombining,2,0.01
areOpposed,2,0.01
to_mins,2,0.01
printDrain,2,0.01
time_sort,2,0.01
getDirection,2,0.01
get_instruction_set,2,0.01
calculate_instruction_time,2,0.01
calculate_seconds,2,0.01
init_possible,2,0.01
uni,2,0.01
clearAll,2,0.01
debugcosts,2,0.01
init_cell,2,0.01
labelit,2,0.01
destino,2,0.01
find_opp,2,0.01
DoTask,2,0.01
PushButton,2,0.01
AddToResultList,2,0.01
TryCombine,2,0.01
TryOppose,2,0.01
OppSuccess,2,0.01
qs2,2,0.01
path,2,0.01
read_tests,2,0.01
printstack,2,0.01
prepare,2,0.01
minalt,2,0.01
calcDrain,2,0.01
advance,2,0.01
init_round,2,0.01
add_combine_rule,2,0.01
tie_lists,2,0.01
add_oppose_rule,2,0.01
oSerach,2,0.01
getbin,2,0.01
changepos,2,0.01
doFlush,2,0.01
applydir,2,0.01
BFinish,2,0.01
GetTrainNum,2,0.01
isPowerOf2,2,0.01
displayHeap,2,0.01
heapMaximum,2,0.01
heapExtractMax,2,0.01
heapIncreaseKey,2,0.01
maxHeapInsert,2,0.01
heapDelete,2,0.01
square_area,2,0.01
nameToInt,2,0.01
set_label_for_cell,2,0.01
runLength,2,0.01
splitNum,2,0.01
lineToTrainTime,2,0.01
compareTime,2,0.01
insertTrainTime,2,0.01
findsequence,2,0.01
cmp_gares,2,0.01
readvalue,2,0.01
get_nb_changes,2,0.01
mark_flow,2,0.01
readblanks,2,0.01
readeol,2,0.01
toInt,2,0.01
get_nb_trains,2,0.01
rezolva,2,0.01
sort_se,2,0.01
matching_count_of_pattern_in_s...,2,0.01
solveIt,2,0.01
findtrainA,2,0.01
findtrainB,2,0.01
IsTheQueryExists,2,0.01
StringCopy,2,0.01
parseSent,2,0.01
ispresent,2,0.01
GetSets,2,0.01
find_index,2,0.01
foo_cmp,2,0.01
divide_string,2,0.01
some_arrived_before,2,0.01
find_switches,2,0.01
ToPtr,2,0.01
index_of,2,0.01
unionConnect,2,0.01
unionGet,2,0.01
unionInit,2,0.01
get_color,2,0.01
numMatchedPatterns,2,0.01
unite,2,0.01
findMatches,2,0.01
free_trie_node,2,0.01
get_next_hit,2,0.01
get_all_next_hits,2,0.01
computeSwitchs,2,0.01
recurr,2,0.01
init_len,2,0.01
searchDic,2,0.01
addDic,2,0.01
Eval,2,0.01
freeDic,2,0.01
deleteDic,2,0.01
initDic,2,0.01
calc_0,2,0.01
calc_1,2,0.01
norm,2,0.01
inspectAND,2,0.01
inspectOR,2,0.01
inspect,2,0.01
intReverse,2,0.01
intNextPermutation,2,0.01
fila,2,0.01
numero_movimientos,2,0.01
quadarea,2,0.01
smin,2,0.01
getQuad,2,0.01
tryChg,2,0.01
arcarea,2,0.01
xuanchuang,2,0.01
read_create_dict,2,0.01
tblsort,2,0.01
add_min_to_time,2,0.01
check_used,2,0.01
time_to_int,2,0.01
dep_time_to_int,2,0.01
get_offset,2,0.01
format_time,2,0.01
arival_time_to_int,2,0.01
build_train_availablity_matrix,2,0.01
is_train_ready_to_go_from_stn,2,0.01
get_trains_to_start_from_stn,2,0.01
print_tt,2,0.01
max_se_p,2,0.01
sort_am,2,0.01
sort_tt,2,0.01
howmany,2,0.01
Busca,2,0.01
remplireliste,2,0.01
getSol,2,0.01
nodesort,2,0.01
blue,2,0.01
compareB,2,0.01
clear_used,2,0.01
green,2,0.01
Search,2,0.01
MatchPattern,2,0.01
cmpChain,2,0.01
earning,2,0.01
cmpByArrives,2,0.01
getDifference,2,0.01
isSink,2,0.01
howManyNonZero,2,0.01
getNumTestCases,2,0.01
update_the_dist,2,0.01
